team_abbrev,years,sources,total_count
2SCM,"2011,2012","draft,h2h",
AC,"2011,2012","draft,h2h",
ACHK,2013,"draft,h2h",
AWAY,"2011,2012,2013,2014,2015,2016,2017,2018",h2h,
BBRS,"2011,2012","draft,h2h",
BBWZ,"2011,2012","draft,h2h",
BNSM,2021,"boxscores,draft",
BRIM,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024","boxscores,draft,h2h",
CHLK,"2016,2017,2018,2019,2020,2021,2022,2023,2024","boxscores,draft,h2h",
COCK,"2011,2012,2013,2014","draft,h2h",
DKEG,2020,"boxscores,draft",
DKGG,"2011,2012,2013,2014,2015,2016,2017,2018,2019","boxscores,draft,h2h",
DPCX,"2015,2016,2017","draft,h2h",
FYOU,"2014,2015","draft,h2h",
GFM,"2011,2012,2016,2017,2018,2019,2020,2021,2022,2023,2024","boxscores,draft,h2h",
GOW,"2011,2012","draft,h2h",
GRFM,"2013,2014,2015","draft,h2h",
JAG,"2016,2017,2018,2019","boxscores,draft,h2h",
JAGB,"2020,2021,2022,2023,2024","boxscores,draft",
JGBM,"2013,2014,2015","draft,h2h",
KNAB,"2011,2012","draft,h2h",
LNDS,"2013,2014,2015","draft,h2h",
LNO,"2016,2017,2018,2019,2020,2022,2023,2024","boxscores,draft,h2h",
MJI,2011,"draft,h2h",
MRYJ,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024","boxscores,draft,h2h",
MXBN,"2013,2014,2015,2016,2017","draft,h2h",
MXLB,"2018,2019,2020,2021,2022,2023,2024","boxscores,draft,h2h",
PCX,"2018,2019,2020,2021,2022,2023,2024","boxscores,draft,h2h",
PITB,"2018,2019,2020,2021","boxscores,draft,h2h",
PKMC,"2023,2024","boxscores,draft",
PTB,"2011,2012,2016,2017","draft,h2h",
PTBS,"2013,2014,2015","draft,h2h",
SBB,"2019,2020","boxscores,draft",
SSBB,"2021,2022,2023,2024","boxscores,draft",
SSS,"2013,2014,2015,2016,2017,2018","draft,h2h",
SWEE,"2011,2012","draft,h2h",
TACT,"2021,2022,2023,2024","boxscores,draft",
TFF,2022,"boxscores,draft",
WTWZ,"2013,2014,2015","draft,h2h",
WWZ,"2016,2017","draft,h2h",
WZRD,"2018,2019,2020,2021,2022,2023,2024","boxscores,draft,h2h",
mji,2012,"draft,h2h",
